RUNNO,TRNO,TNAM,WSTA....,SOIL_ID...,PDAT,HDAT,HWAH,PRCM,Zones,Pyear,Pday,Hyear,Hday
28687,1,AAAA0001,AAAA7937,WI_VRZM080,2009288,2010119,0,907,Monze,2009,288,2010,119
28688,1,AAAA0001,AAAA7937,WI_VRZM080,2010288,2011119,0,697,Monze,2010,288,2011,119
28689,1,AAAA0001,AAAA7937,WI_VRZM080,2011288,2012119,0,570,Monze,2011,288,2012,119
28690,1,AAAA0001,AAAA7937,WI_VRZM080,2012288,2013119,0,702,Monze,2012,288,2013,119
28691,1,AAAA0001,AAAA7937,WI_VRZM080,2013288,2014119,0,675,Monze,2013,288,2014,119
28692,1,AAAA0001,AAAA7937,WI_VRZM080,2014288,2015119,0,656,Monze,2014,288,2015,119
28759,3,AAAA0001,AAAA7937,WI_VRZM080,2009288,2010119,0,907,Monze,2009,288,2010,119
28760,3,AAAA0001,AAAA7937,WI_VRZM080,2010288,2011119,0,697,Monze,2010,288,2011,119
28761,3,AAAA0001,AAAA7937,WI_VRZM080,2011288,2012119,0,570,Monze,2011,288,2012,119
28762,3,AAAA0001,AAAA7937,WI_VRZM080,2012288,2013119,0,702,Monze,2012,288,2013,119
28763,3,AAAA0001,AAAA7937,WI_VRZM080,2013288,2014119,0,675,Monze,2013,288,2014,119
28764,3,AAAA0001,AAAA7937,WI_VRZM080,2014288,2015119,0,656,Monze,2014,288,2015,119
56767,1,AAAA0001,AAAA7937,WI_VRZM080,2009302,2010119,1757,907,Monze,2009,302,2010,119
56768,1,AAAA0001,AAAA7937,WI_VRZM080,2010302,2011119,0,697,Monze,2010,302,2011,119
56769,1,AAAA0001,AAAA7937,WI_VRZM080,2011302,2012119,0,570,Monze,2011,302,2012,119
56770,1,AAAA0001,AAAA7937,WI_VRZM080,2012302,2013119,0,702,Monze,2012,302,2013,119
56771,1,AAAA0001,AAAA7937,WI_VRZM080,2013302,2014119,0,675,Monze,2013,302,2014,119
56772,1,AAAA0001,AAAA7937,WI_VRZM080,2014302,2015119,0,656,Monze,2014,302,2015,119
56839,3,AAAA0001,AAAA7937,WI_VRZM080,2009302,2010119,2692,907,Monze,2009,302,2010,119
56840,3,AAAA0001,AAAA7937,WI_VRZM080,2010302,2011119,0,697,Monze,2010,302,2011,119
56841,3,AAAA0001,AAAA7937,WI_VRZM080,2011302,2012119,0,570,Monze,2011,302,2012,119
56842,3,AAAA0001,AAAA7937,WI_VRZM080,2012302,2013119,0,702,Monze,2012,302,2013,119
56843,3,AAAA0001,AAAA7937,WI_VRZM080,2013302,2014119,0,675,Monze,2013,302,2014,119
56844,3,AAAA0001,AAAA7937,WI_VRZM080,2014302,2015119,0,656,Monze,2014,302,2015,119
82687,1,AAAA0001,AAAA7937,WI_VRZM080,2009316,2010119,1492,907,Monze,2009,316,2010,119
82688,1,AAAA0001,AAAA7937,WI_VRZM080,2010316,2011119,2129,697,Monze,2010,316,2011,119
82689,1,AAAA0001,AAAA7937,WI_VRZM080,2011316,2012119,0,570,Monze,2011,316,2012,119
82690,1,AAAA0001,AAAA7937,WI_VRZM080,2012316,2013119,1882,702,Monze,2012,316,2013,119
82691,1,AAAA0001,AAAA7937,WI_VRZM080,2013316,2014119,0,675,Monze,2013,316,2014,119
82692,1,AAAA0001,AAAA7937,WI_VRZM080,2014316,2015119,0,656,Monze,2014,316,2015,119
82759,3,AAAA0001,AAAA7937,WI_VRZM080,2009316,2010119,2271,907,Monze,2009,316,2010,119
82760,3,AAAA0001,AAAA7937,WI_VRZM080,2010316,2011119,3686,697,Monze,2010,316,2011,119
82761,3,AAAA0001,AAAA7937,WI_VRZM080,2011316,2012119,0,570,Monze,2011,316,2012,119
82762,3,AAAA0001,AAAA7937,WI_VRZM080,2012316,2013119,2532,702,Monze,2012,316,2013,119
82763,3,AAAA0001,AAAA7937,WI_VRZM080,2013316,2014119,0,675,Monze,2013,316,2014,119
82764,3,AAAA0001,AAAA7937,WI_VRZM080,2014316,2015119,0,656,Monze,2014,316,2015,119
106447,1,AAAA0001,AAAA7937,WI_VRZM080,2009330,2010119,2055,907,Monze,2009,330,2010,119
106448,1,AAAA0001,AAAA7937,WI_VRZM080,2010330,2011119,2182,697,Monze,2010,330,2011,119
106449,1,AAAA0001,AAAA7937,WI_VRZM080,2011330,2012119,1777,570,Monze,2011,330,2012,119
106450,1,AAAA0001,AAAA7937,WI_VRZM080,2012330,2013119,1628,702,Monze,2012,330,2013,119
106451,1,AAAA0001,AAAA7937,WI_VRZM080,2013330,2014119,1790,675,Monze,2013,330,2014,119
106452,1,AAAA0001,AAAA7937,WI_VRZM080,2014330,2015119,946,656,Monze,2014,330,2015,119
106519,3,AAAA0001,AAAA7937,WI_VRZM080,2009330,2010119,3848,907,Monze,2009,330,2010,119
106520,3,AAAA0001,AAAA7937,WI_VRZM080,2010330,2011119,3692,697,Monze,2010,330,2011,119
106521,3,AAAA0001,AAAA7937,WI_VRZM080,2011330,2012119,2361,570,Monze,2011,330,2012,119
106522,3,AAAA0001,AAAA7937,WI_VRZM080,2012330,2013119,2624,702,Monze,2012,330,2013,119
106523,3,AAAA0001,AAAA7937,WI_VRZM080,2013330,2014119,3096,675,Monze,2013,330,2014,119
106524,3,AAAA0001,AAAA7937,WI_VRZM080,2014330,2015119,1545,656,Monze,2014,330,2015,119
128047,1,AAAA0001,AAAA7937,WI_VRZM080,2009344,2010119,2343,907,Monze,2009,344,2010,119
128048,1,AAAA0001,AAAA7937,WI_VRZM080,2010344,2011119,1913,697,Monze,2010,344,2011,119
128049,1,AAAA0001,AAAA7937,WI_VRZM080,2011344,2012119,1777,570,Monze,2011,344,2012,119
128050,1,AAAA0001,AAAA7937,WI_VRZM080,2012344,2013119,2204,702,Monze,2012,344,2013,119
128051,1,AAAA0001,AAAA7937,WI_VRZM080,2013344,2014119,1304,675,Monze,2013,344,2014,119
128052,1,AAAA0001,AAAA7937,WI_VRZM080,2014344,2015119,942,656,Monze,2014,344,2015,119
128119,3,AAAA0001,AAAA7937,WI_VRZM080,2009344,2010119,4603,907,Monze,2009,344,2010,119
128120,3,AAAA0001,AAAA7937,WI_VRZM080,2010344,2011119,3352,697,Monze,2010,344,2011,119
128121,3,AAAA0001,AAAA7937,WI_VRZM080,2011344,2012119,2362,570,Monze,2011,344,2012,119
128122,3,AAAA0001,AAAA7937,WI_VRZM080,2012344,2013119,3564,702,Monze,2012,344,2013,119
128123,3,AAAA0001,AAAA7937,WI_VRZM080,2013344,2014119,2065,675,Monze,2013,344,2014,119
128124,3,AAAA0001,AAAA7937,WI_VRZM080,2014344,2015119,1546,656,Monze,2014,344,2015,119
147487,1,AAAA0001,AAAA7937,WI_VRZM080,2009358,2010119,3706,907,Monze,2009,358,2010,119
147488,1,AAAA0001,AAAA7937,WI_VRZM080,2010358,2011119,1297,697,Monze,2010,358,2011,119
147489,1,AAAA0001,AAAA7937,WI_VRZM080,2011358,2012119,1204,570,Monze,2011,358,2012,119
147490,1,AAAA0001,AAAA7937,WI_VRZM080,2012358,2013119,1388,702,Monze,2012,358,2013,119
147491,1,AAAA0001,AAAA7937,WI_VRZM080,2013358,2014119,1652,675,Monze,2013,358,2014,119
147492,1,AAAA0001,AAAA7937,WI_VRZM080,2014358,2015119,1700,656,Monze,2014,358,2015,119
147559,3,AAAA0001,AAAA7937,WI_VRZM080,2009358,2010119,5070,907,Monze,2009,358,2010,119
147560,3,AAAA0001,AAAA7937,WI_VRZM080,2010358,2011119,2012,697,Monze,2010,358,2011,119
147561,3,AAAA0001,AAAA7937,WI_VRZM080,2011358,2012119,1852,570,Monze,2011,358,2012,119
147562,3,AAAA0001,AAAA7937,WI_VRZM080,2012358,2013119,2153,702,Monze,2012,358,2013,119
147563,3,AAAA0001,AAAA7937,WI_VRZM080,2013358,2014119,2317,675,Monze,2013,358,2014,119
147564,3,AAAA0001,AAAA7937,WI_VRZM080,2014358,2015119,2471,656,Monze,2014,358,2015,119
164767,1,AAAA0001,AAAA7937,WI_VRZM080,2010007,2010119,3643,907,Monze,2010,7,2010,119
164768,1,AAAA0001,AAAA7937,WI_VRZM080,2011007,2011119,783,697,Monze,2011,7,2011,119
164769,1,AAAA0001,AAAA7937,WI_VRZM080,2012007,2012119,1885,570,Monze,2012,7,2012,119
164770,1,AAAA0001,AAAA7937,WI_VRZM080,2013007,2013119,697,702,Monze,2013,7,2013,119
164771,1,AAAA0001,AAAA7937,WI_VRZM080,2014007,2014119,235,675,Monze,2014,7,2014,119
164772,1,AAAA0001,AAAA7937,WI_VRZM080,2015007,2015119,878,656,Monze,2015,7,2015,119
164839,3,AAAA0001,AAAA7937,WI_VRZM080,2010007,2010119,4665,907,Monze,2010,7,2010,119
164840,3,AAAA0001,AAAA7937,WI_VRZM080,2011007,2011119,1088,697,Monze,2011,7,2011,119
164841,3,AAAA0001,AAAA7937,WI_VRZM080,2012007,2012119,1925,570,Monze,2012,7,2012,119
164842,3,AAAA0001,AAAA7937,WI_VRZM080,2013007,2013119,1096,702,Monze,2013,7,2013,119
164843,3,AAAA0001,AAAA7937,WI_VRZM080,2014007,2014119,352,675,Monze,2014,7,2014,119
164844,3,AAAA0001,AAAA7937,WI_VRZM080,2015007,2015119,1306,656,Monze,2015,7,2015,119
179887,1,AAAA0001,AAAA7937,WI_VRZM080,2010021,2010119,1952,907,Monze,2010,21,2010,119
179888,1,AAAA0001,AAAA7937,WI_VRZM080,2011021,2011119,835,697,Monze,2011,21,2011,119
179889,1,AAAA0001,AAAA7937,WI_VRZM080,2012021,2012119,568,570,Monze,2012,21,2012,119
179890,1,AAAA0001,AAAA7937,WI_VRZM080,2013021,2013119,0,702,Monze,2013,21,2013,119
179891,1,AAAA0001,AAAA7937,WI_VRZM080,2014021,2014119,0,675,Monze,2014,21,2014,119
179892,1,AAAA0001,AAAA7937,WI_VRZM080,2015021,2015119,559,656,Monze,2015,21,2015,119
179959,3,AAAA0001,AAAA7937,WI_VRZM080,2010021,2010119,3189,907,Monze,2010,21,2010,119
179960,3,AAAA0001,AAAA7937,WI_VRZM080,2011021,2011119,1208,697,Monze,2011,21,2011,119
179961,3,AAAA0001,AAAA7937,WI_VRZM080,2012021,2012119,707,570,Monze,2012,21,2012,119
179962,3,AAAA0001,AAAA7937,WI_VRZM080,2013021,2013119,0,702,Monze,2013,21,2013,119
179963,3,AAAA0001,AAAA7937,WI_VRZM080,2014021,2014119,0,675,Monze,2014,21,2014,119
179964,3,AAAA0001,AAAA7937,WI_VRZM080,2015021,2015119,592,656,Monze,2015,21,2015,119
